Issue Type,Summary,Description,Epic Link,Labels
Epic,Modernize StatusUI Admin and Transmission Review Experience,"Implement the accepted StatusUI UI refresh while preserving production routes, permissions, data fields, and workflows. See jira/epic.md.",,statusui-ui-refresh
Story,Audit production UI contracts before implementation,"Document current production routes, fields, permissions, filters, actions, and form behavior before coding. See jira/stories/01-audit-production-ui-contracts.md.",Modernize StatusUI Admin and Transmission Review Experience,statusui-ui-refresh
Story,Establish Strong-Tie Design System UI foundation,"Use the appropriate Strong-Tie Design System UI libraries, CSS, tokens, and component patterns for refreshed screens without requiring an application framework migration. See jira/stories/02-define-shared-ui-component-contracts.md.",Modernize StatusUI Admin and Transmission Review Experience,statusui-ui-refresh
Story,Modernize app shell and navigation,"Replace the production top-navbar/admin-dropdown pattern on refreshed screens with the approved shell: desktop sidebar, mobile menu, brand/logo, active states, account menu, role context, logout, and environment/version display. See jira/stories/03-modernize-app-shell-navigation.md.",Modernize StatusUI Admin and Transmission Review Experience,statusui-ui-refresh
Story,Refresh Projects and transmission list,"Refresh /statusui/Projects using the Transmitted Components direction while preserving production transmission fields, Details/Open actions, date/result context, pagination, status text, and responsive scanability. See jira/stories/04-refresh-projects-transmission-list.md.",Modernize StatusUI Admin and Transmission Review Experience,statusui-ui-refresh
Story,Build Project filters panel,"Represent all production Project filters in the refreshed panel. See jira/stories/05-build-project-filters-panel.md.",Modernize StatusUI Admin and Transmission Review Experience,statusui-ui-refresh
Story,Add transmission status visualization,"Add status badges/lights and workflow visualization with accessible text. See jira/stories/06-add-transmission-status-visualization.md.",Modernize StatusUI Admin and Transmission Review Experience,statusui-ui-refresh
Story,Refresh transmission detail page,"Modernize transmission details while preserving production detail fields. See jira/stories/07-refresh-transmission-detail-page.md.",Modernize StatusUI Admin and Transmission Review Experience,statusui-ui-refresh
Story,Refresh Users list and detail views,"Modernize Users list/detail while preserving production fields and actions. See jira/stories/08-refresh-users-list-and-detail.md.",Modernize StatusUI Admin and Transmission Review Experience,statusui-ui-refresh
Story,Refresh User create and edit form,"Modernize identity, role, group membership, save, and password reset workflows. See jira/stories/09-refresh-user-create-edit-form.md.",Modernize StatusUI Admin and Transmission Review Experience,statusui-ui-refresh
Story,Refresh Groups list and group management,"Modernize Groups list/create/edit and membership management while preserving warning and add/remove behavior. See jira/stories/10-refresh-groups-list-and-detail.md.",Modernize StatusUI Admin and Transmission Review Experience,statusui-ui-refresh
Story,Refresh Jobs and Maintenance pages,"Apply refreshed visual system to Jobs and Maintenance while preserving production fields. See jira/stories/11-refresh-jobs-and-maintenance-pages.md.",Modernize StatusUI Admin and Transmission Review Experience,statusui-ui-refresh
Story,Implement transmission notes entry point behind product decision,"Confirm notes scope and implement or hide accordingly. See jira/stories/12-implement-notes-entry-point-behind-product-decision.md.",Modernize StatusUI Admin and Transmission Review Experience,statusui-ui-refresh
Story,Add table controls for sorting columns and responsive scanning,"Implement accessible table controls compatible with production paging/sorting. See jira/stories/13-add-table-controls-for-sort-columns-and-responsive-scanning.md.",Modernize StatusUI Admin and Transmission Review Experience,statusui-ui-refresh
Story,Accessibility and keyboard hardening,"Harden navigation, menus, panels, dialogs, forms, tables, and status visualization. See jira/stories/14-accessibility-and-keyboard-hardening.md.",Modernize StatusUI Admin and Transmission Review Experience,statusui-ui-refresh
Story,Regression test critical refreshed workflows,"Add automated or manual regression coverage for critical refreshed workflows. See jira/stories/15-regression-test-critical-workflows.md.",Modernize StatusUI Admin and Transmission Review Experience,statusui-ui-refresh
